TeamId,TeamName,SubmissionDate,Score
242374,inversion,"2015-11-23 15:12:01",0.00000
242382,"Bojan Tunguz","2015-11-23 15:35:09",0.00000
242388,"Václav Čadek","2015-11-23 15:49:55",0.53327
242389,"Alexander  Larko","2015-11-23 15:50:27",0.36309
242391,"Paul Hendricks","2015-11-23 15:54:31",0.00000
242392,Abhishek,"2015-11-23 15:54:38",0.03374
242382,"Bojan Tunguz","2015-11-23 16:01:38",0.57109
242388,"Václav Čadek","2015-11-23 16:15:13",0.53793
242387,Jayhawk1900,"2015-11-23 16:32:42",0.46547
242392,Abhishek,"2015-11-23 16:32:46",0.53220
242382,"Bojan Tunguz","2015-11-23 16:38:09",0.57144
242372,"Fernando Constantino","2015-11-23 16:41:10",0.10391
242392,Abhishek,"2015-11-23 16:41:20",0.53876
242403,ebdd0304e745872f59bc5597a2f20fb9f7a5a8a704098a5aedbb0bcefc24d11b,"2015-11-23 16:42:55",0.52718
242403,ebdd0304e745872f59bc5597a2f20fb9f7a5a8a704098a5aedbb0bcefc24d11b,"2015-11-23 16:44:24",0.52817
242405,"udit saini","2015-11-23 16:45:01",0.36309
242403,ebdd0304e745872f59bc5597a2f20fb9f7a5a8a704098a5aedbb0bcefc24d11b,"2015-11-23 17:01:25",0.55103
242392,Abhishek,"2015-11-23 17:08:18",0.58685
242413,"Ben Hamner","2015-11-23 17:09:43",0.59150
242406,Cooper,"2015-11-23 17:15:32",0.36462
242413,"Ben Hamner","2015-11-23 17:17:00",0.60126
242413,"Ben Hamner","2015-11-23 17:18:27",0.61171
242406,Cooper,"2015-11-23 17:25:47",0.58625
242382,"Bojan Tunguz","2015-11-23 17:26:48",0.60033
242428,Ouranos,"2015-11-23 17:26:51",0.61171
242382,"Bojan Tunguz","2015-11-23 17:32:20",0.60713
242406,Cooper,"2015-11-23 17:37:10",0.61893
242433,Maddy,"2015-11-23 17:38:59",0.61383
242433,Maddy,"2015-11-23 17:41:37",0.61879
242433,Maddy,"2015-11-23 17:44:54",0.62324
242434,"Dimos Kapetis","2015-11-23 17:48:06",0.62324
242433,Maddy,"2015-11-23 17:49:07",0.62656
242428,Ouranos,"2015-11-23 17:57:29",0.61456
242428,Ouranos,"2015-11-23 18:07:19",0.62421
242434,"Dimos Kapetis","2015-11-23 18:12:39",0.62626
242440,"Ayman Khalafallah","2015-11-23 18:14:55",0.61171
242440,"Ayman Khalafallah","2015-11-23 18:15:29",0.62656
242441,"Pan Tofelek","2015-11-23 18:34:14",0.61268
242406,Cooper,"2015-11-23 18:38:41",0.61983
